thread_count,stage,measured_time_s,measured_speedup,measured_efficiency,measured_bandwidth_GBs,measured_roofline_fraction
1,core,40.865499,1.0000,1.0000,18.1778,0.078522
16,core,14.112138,2.89577,0.180986,52.6388,0.453783
64,core,3.621349,11.284607,0.176322,205.1295,1.768358
128,core,1.910685,21.387874,0.167093,388.7849,1.679416
128,extension,1.906656,21.433069,0.167446,389.6064,1.682965
